Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/08/2019,Venta,NAC,28001,Cliente 103,Producto 127,300.0,74.06,1140.0, USD ,22218.84,MXP,58.81,19.49,1140.0,661.35,17643.18,Enero
1.0,01/08/2019,Cancelacion,NAC,1576,Cliente 135,Producto 107,0.0,151.24,388.0, USD ,7562.2,MXP,97.37,19.49,388.0,0.0,0.0,Enero
1.0,01/08/2019,Cancelacion,NAC,1575,Cliente 135,Producto 118,0.0,210.1,539.0, USD ,10505.22,MXP,186.45,19.49,539.0,0.0,0.0,Enero
1.0,01/08/2019,Venta,NAC,27999,Cliente 65,Producto 54,150.0,97.45,750.0, USD ,14617.65,MXP,56.49,19.49,750.0,330.675,8473.04,Enero
1.0,01/08/2019,Venta,NAC,28003,Cliente 103,Producto 127,1000.0,45.22,2320.0, USD ,45217.3,MXP,33.99,19.49,2320.0,2204.5,33994.4,Enero
1.0,01/08/2019,Venta,NAC,28010,Cliente 124,Producto 93,25.0,172.29,221.0, USD ,4307.34,MXP,187.57,19.49,221.0,55.1125,4689.3,Enero
1.0,01/08/2019,Venta,NAC,28009,Cliente 124,Producto 94,20.0,354.92,364.2, USD ,7098.33,MXP,247.65,19.49,364.2,44.09,4953.08,Enero
1.0,01/08/2019,Venta,NAC,28004,Cliente 103,Producto 130,800.0,119.67,4912.0, USD ,95735.84,MXP,67.54,19.49,4912.0,1763.6,54034.64,Enero
1.0,01/08/2019,Venta,NAC,28002,Cliente 103,Producto 127,500.0,45.22,1160.0, USD ,22608.65,MXP,33.99,19.49,1160.0,1102.25,16997.2,Enero
1.0,01/08/2019,Venta,NAC,28000,Cliente 103,Producto 107,500.0,117.53,3015.0, USD ,58762.95,MXP,92.03,19.49,3015.0,1102.25,46017.4,Enero
1.0,01/08/2019,Cancelacion,NAC,1577,Cliente 132,Producto 102,0.0,229.59,270.94, USD ,5280.68,MXP,170.88,19.49,270.94,0.0,0.0,Enero
1.0,01/08/2019,Cancelacion,NAC,1577,Cliente 132,Producto 102,0.0,229.59,2650.5, USD ,51658.79,MXP,170.88,19.49,2650.5,0.0,0.0,Enero
1.0,01/08/2019,Cancelacion,NAC,1577,Cliente 132,Producto 107,0.0,215.37,1657.5, USD ,32305.01,MXP,166.99,19.49,1657.5,0.0,0.0,Enero
1.0,01/08/2019,Cancelacion,NAC,1577,Cliente 132,Producto 133,0.0,214.39,275.0, USD ,5359.81,MXP,110.89,19.49,275.0,0.0,0.0,Enero
1.0,01/09/2019,Venta,NAC,28023,Cliente 8,Producto 107,350.0,131.95,2387.0, USD ,46183.45,MXP,56.68,19.35,2387.0,771.575,19836.29,Enero
1.0,01/09/2019,Venta,NAC,28014,Cliente 135,Producto 107,50.0,150.14,388.0, USD ,7506.99,MXP,96.16,19.35,388.0,110.225,4807.86,Enero
1.0,01/09/2019,Venta,NAC,28024,Cliente 136,Producto 147,0.0,2.65,175.22, USD ,3390.25,MXP,0.0,19.35,175.23,0.0,0.0,Enero
